created_at,title,details,location_name,location_address,created_by_user_id,start_date,end_date,id,is_cancelled
"2022-08-07 20:29:56.350497+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-08-09 20:00:00+00","2022-08-09 22:00:00+00",1,f
"2022-08-07 20:31:11.842757+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-08-11 20:00:00+00","2022-08-11 22:00:00+00",2,f
"2022-08-07 20:48:47.695277+00","Summer Party","Rain Date:  Sunday August 14th","Crystal Brawl's House","290 Brunswick Ave Spotswood, NJ 08884",U03SRGCA30U,"2022-08-13 13:00:00+00",,17,f
"2022-08-07 20:32:00.649648+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-08-16 20:00:00+00","2022-08-16 22:00:00+00",3,f
"2022-08-07 20:32:28.155238+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-08-18 20:00:00+00","2022-08-18 22:00:00+00",4,f
"2022-08-07 20:49:59.512883+00","Shark Skate",,"Rollermagic South Amboy","270 N Stevens Ave South Amboy, NJ 08879",U03SRGCA30U,"2022-08-19 19:30:00+00","2022-08-19 23:00:00+00",18,f
"2022-08-07 20:33:26.241897+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-08-23 20:00:00+00","2022-08-23 22:00:00+00",5,f
"2022-08-07 20:34:00.939662+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-08-25 20:00:00+00","2022-08-25 22:00:00+00",6,f
"2022-08-07 20:34:22.099033+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-08-30 20:00:00+00","2022-08-30 22:00:00+00",7,f
"2022-08-07 20:35:53.976063+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-09-01 20:00:00+00","2022-09-01 22:00:00+00",8,f
"2022-08-07 20:36:58.646679+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-09-06 20:00:00+00","2022-09-06 22:00:00+00",9,f
"2022-08-07 20:37:25.393473+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-09-08 20:00:00+00","2022-09-08 22:00:00+00",10,f
"2022-08-07 20:37:49.881001+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-09-13 20:00:00+00","2022-09-13 22:00:00+00",11,f
"2022-08-07 20:38:20.676111+00",Practice,,"Metuchen Sportsplex","215 Durham Ave, Metuchen, NJ 08840",U03SRGCA30U,"2022-09-15 20:00:00+00","2022-09-15 22:00:00+00",12,f
"2022-09-15 22:31:22.845457+00",Practice,,"South Amboy Roller Magic","270 N Stevens Ave, South Amboy, NJ",U01LR0W5C1E,"2022-10-18 20:00:00+00","2022-10-18 22:00:00+00",32,f
